reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
169eaaf8-87c8-4d6b-8f11-cdeedfef71ca,Lokesh Dholpuriya,https://play-lh.googleusercontent.com/a-/ACB-R5TZlbky7k9v1p7AaIpET7vpRM6Qr0Pb0nQYlE_xYw,thik h app,3,0,1.6.0,2023-04-06 09:06:05,"Hi Lokesh.
Thank you for rating us. Kindly let us know what updates or changes you would like to see in our app, in order to give us a 5 Star rating. You could write to us hello@freosave.com.",2023-04-10 11:42:47
41903f4e-d77c-4a21-a0d7-fa734dd5c04b,Dasmat Besra,https://play-lh.googleusercontent.com/a-/ACB-R5TUNHv3rXjLQSwj1dqOoa5jMlvB3-dqnM2SJasOzDs,"Can't open an account, it says ""you already have an account with our banking partner!""",3,0,,2023-04-03 15:58:02,"Hi Dasmat. We regret to inform you that we can’t open your Freo Save account, since you already are an Equitas SFB account holder. But rest assured, we will update you with further developments and reach out to you as soon as we’re able to open your account.",2023-04-04 16:33:24
7ca2fb9f-6a12-4b79-9ed0-05f48ff20a32,Jamuna Rajak,https://play-lh.googleusercontent.com/a-/ACB-R5TRtW7qKHEg1QzEF4QtMdGHkbrQODLpyznmbFg3,This app a very simple really like app,3,0,1.6.0,2023-03-14 14:49:10,"Hi Rajak.
Happy to hear that you find the app good :)
Please let us know the reason behind this low rating at hello@freosave.com. We'd be happy to improve our app based on your suggestions.
",2023-03-15 11:21:07
46b46490-a957-467f-83be-96c99e7b49a7,Pankaj Roy,https://play-lh.googleusercontent.com/a-/ACB-R5SRStnJm5lyG6oWWKb5L-kR3agPvflw0F3fXdOwlg,nice,3,0,1.5.9,2023-02-24 23:15:01,"Hi Pankaj. Thanks for the review. If you like our app, would you mind rating us 5 stars? That would be very encouraging for us.",2023-02-28 15:32:47
bbc22210-4c2a-4952-bc75-7cd0892fabbd,srikanth srikanth sp,https://play-lh.googleusercontent.com/a-/ACB-R5Qo6DCSIsjwSewpkY4Emk060oBAAi5E163JY5A8jfM,C create an CV bijon 3,3,0,,2023-02-24 16:59:58,Hi Srikanth. We sincerely apologize for the inconvenience. We are unable to find your details here. Kindly share your registered email address to this link: (https://bit.ly/Freosave). We'd be glad to help you.,2023-02-28 15:32:23
54877256-387c-4fc4-9cf6-e18c652cabef,Shivcharan Meena,https://play-lh.googleusercontent.com/a/AGNmyxYdP9sUMlUy6iu8-Wqyud9A7C5eylfu_4TJ2OY1=mo,very nice,3,0,1.5.7,2023-02-20 10:44:16,Hi Shivcharan. We are glad you liked the app. We request you to give us a 5-star rating as it is the best encouragement for our team.,2023-02-21 12:46:43
713aa4da-1e60-425b-96d0-05324e650f95,rajesh maraskolhe,https://play-lh.googleusercontent.com/a-/ACB-R5RIXFLrEZULzDAQTMsVCrff7E97Vf6FMNiw1Zk_dw,best app,3,0,1.5.8,2023-02-15 14:33:04,Hi Rajesh. Thank you for rating us. Please share your ideas on how we can make the app better at hello@freosave.com. Thank you.,2023-02-21 12:43:21
6a3b633f-c731-40a6-b0af-207913e2daee,J P,https://play-lh.googleusercontent.com/a-/ACB-R5Q2wzwEwDeTzhALX7uNTOhNE2InSqa1DzNE6I12DdE,Can i open this account if i already have saving account with equitas bank,3,0,1.5.7,2023-02-08 17:47:16,"Hi, while we may not be able to open a Freo Save account for you right now, we promise that we're working hard to change that. We will get in touch as soon as we have an update for you.",2023-02-13 17:16:21
9ac8569d-0dbb-48f2-b9c7-76142607288d,ROYDESH LAMAY,https://play-lh.googleusercontent.com/a-/ACB-R5R0RMIoJCZwbIwD6lqfKOJwSMhTGVJkbuUlMb6MIg,i now start,3,0,1.5.7,2023-02-02 12:53:36,Hi Roydesh. Thank you for rating us. Please share your ideas on how we can make the app better at hello@freosave.com. Thank you.,2023-02-03 15:40:39
f98a9be9-347d-4352-b164-cd6633cea5e5,harshal Patarkar,https://play-lh.googleusercontent.com/a/AGNmyxaYQsryQ199OHqy_J5LIHpZLge6qMJQryUU5qs=mo,good,3,0,1.5.5,2023-01-26 15:41:28,"Hi Harshal. Thanks for the review. If you like our app, would you mind rating us 5 stars? That would be very encouraging for us.",2023-01-27 14:01:33
